8 threads:
4096 blocks per slice
i 00219 v 00000000000443f4
i 00220 v 00000000000448bd
i 00221 v 0000000000045ab2
i 00222 v 0000000000046363
i 00223 v 000000000004641c
i 00224 v 0000000000047e3f
i 00225 v 00000000000486a4
i 00226 v 00000000000488f5
i 00227 v 0000000000048dd7
i 00228 v 0000000000049b46
i 00229 v 000000000004b17b
i 00230 v 000000000004b620
i 00231 v 000000000004cd9e
i 00232 v 000000000004d230
i 00233 v 000000000004e24d
i 00234 v 0000000000051180
i 00235 v 00000000000514bc
i 00236 v 0000000000051f6a
i 00237 v 000000000005232b
i 00238 v 0000000000052ed9
i 00239 v 000000000005405c
i 00240 v 000000000005716b
i 00241 v 0000000000058900
i 00242 v 0000000000058f2d
i 00243 v 000000000005aace
i 00244 v 000000000005bd89
i 00245 v 000000000005d4ab
i 00246 v 000000000005d91e
i 00247 v 000000000005edcd
i 00248 v 00000000000616d7
i 00249 v 000000000006331c
i 00250 v 0000000000064ec8
i 00251 v 000000000006526f
i 00252 v 0000000000066901
i 00253 v 0000000000067035
i 00254 v 000000000006a6b5
i 00255 v 000000000006cf6b
i 00256 v 000000000006d0b8
i 00257 v 000000000007098b
i 00258 v 0000000000072d4e
i 00259 v 00000000000772f0
i 00260 v 0000000000077fa7
i 00261 v 0000000000078667
i 00262 v 0000000000078bfc
i 00263 v 00000000000794dc
i 00264 v 000000000007b478
i 00265 v 000000000007c39f
i 00266 v 0000000000080000
i 00267 v 00000000000800f0
i 00268 v 0000000000080119
i 00269 v 000000000008027a
i 00270 v 0000000000080462
i 00271 v 000000000008068d
i 00272 v 00000000000808df
i 00273 v 00000000000809bb
i 00274 v 00000000000812a6
i 00275 v 000000000008151f
i 00276 v 0000000000081df6
i 00277 v 0000000000081ed7
i 00278 v 0000000000082654
i 00279 v 0000000000082913
i 00280 v 000000000008301d
i 00281 v 00000000000839c0
i 00282 v 00000000000840fb
i 00283 v 0000000000084d77
i 00284 v 0000000000085468
i 00285 v 000000000008628a
i 00286 v 0000000000086947
i 00287 v 0000000000087edd
i 00288 v 0000000000087f40
i 00289 v 0000000000088781
i 00290 v 0000000000089758
i 00291 v 000000000008a2fe
i 00292 v 000000000008accc
i 00293 v 000000000008b3d6
i 00294 v 000000000008cdd3
i 00295 v 000000000008da97
i 00296 v 0000000000090ecc
i 00297 v 00000000000921b3
i 00298 v 0000000000092971
i 00299 v 0000000000093301
i 00300 v 000000000009569b
i 00301 v 00000000000982f2
i 00302 v 000000000009849b
i 00303 v 000000000009affb
i 00304 v 000000000009b99f
i 00305 v 000000000009c8a5
i 00306 v 000000000009d4ad
i 00307 v 000000000009e849
i 00308 v 00000000000a14f4
i 00309 v 00000000000a197d
i 00310 v 00000000000a4202
